# Tamil phrase corpus - common multi-word expressions
# Format: phrase\tfrequency
எப்படி இருக்கிறீர்கள்	1500
எப்படி இருக்கீங்க	1450
எங்கே போறீங்க	1400
எங்கே போகிறீர்கள்	1350
என்ன செய்யறீங்க	1300
என்ன செய்கிறீர்கள்	1250
நான் வர	1200
நான் வருகிறேன்	1150
நான் வரேன்	1100
நான் போ	1200
நான் போகிறேன்	1150
நான் போறேன்	1100
சாப்பாடு சாப்பிட்டீங்களா	1300
சாப்பாடு சாப்பிட்டீர்களா	1250
வீட்டுக்கு போ	1200
வீட்டுக்கு போகிறேன்	1150
வீட்டுக்கு போறேன்	1100
பள்ளிக்கு போ	1180
பள்ளிக்கு போகிறேன்	1130
நல்லா இருக்கீங்களா	1400
நன்றாக இருக்கிறீர்களா	1350
என் பெயர்	1500
உங்கள் பெயர்	1450
அவர் பெயர்	1400
என் ஊர்	1350
உங்கள் ஊர்	1300
எனக்கு தெரியாது	1450
எனக்கு தெரியும்	1400
எனக்கு புரியல	1350
எனக்கு புரியுது	1300
நான் படிச்சேன்	1250
நான் சாப்பிட்டேன்	1200
நான் பார்த்தேன்	1150
எங்க இருக்கீங்க	1400
எங்கே இருக்கிறீர்கள்	1350
எப்ப வர	1300
எப்போது வருகிறீர்கள்	1250
எப்ப வர்றீங்க	1200
யார் அது	1350
யார் அவர்	1300
என்ன விலை	1250
எவ்வளவு விலை	1200
நன்றி சொல்ல	1400
மன்னிப்பு கேட்க	1350
உதவி செய்	1300
உதவி வேணும்	1250
தமிழ் படிக்க	1300
தமிழ் பேச	1250
தமிழ் எழுத	1200
அம்மா எங்க	1350
அப்பா எங்க	1300
வீட்டில் இருக்கிறேன்	1250
வீட்ல இருக்கேன்	1200
