# Tamil bigram corpus - word pair frequencies for context-aware suggestions
# Format: word\tnext_word\tfrequency
# Common verb chains
நான்	வர	1800
நான்	போ	1750
நான்	படிக்க	1700
நான்	சாப்பிட	1650
நான்	பார்க்க	1600
நீ	வர	1750
நீ	போ	1700
நீ	படிக்க	1650
அவன்	வந்தான்	1600
அவள்	வந்தாள்	1550
அவர்	வந்தார்	1500
# Question patterns
என்ன	செய்யறீங்க	1700
எப்படி	இருக்கிறீர்கள்	1650
எங்கே	போகிறீர்கள்	1600
எப்போது	வருகிறீர்கள்	1550
யார்	அவர்	1500
# Family + verb
அம்மா	வந்தாள்	1500
அம்மா	சமைக்கிறாள்	1450
அப்பா	வந்தார்	1480
அப்பா	வேலைக்கு	1430
அண்ணா	படிக்கிறான்	1400
அக்கா	சாப்பிடுகிறாள்	1350
# Location patterns
வீட்டுக்கு	போ	1600
பள்ளிக்கு	போ	1550
கல்லூரிக்கு	போ	1500
ஊருக்கு	போ	1450
அலுவலகத்துக்கு	போ	1400
வீட்டில்	இருக்கிறேன்	1550
பள்ளியில்	படிக்கிறேன்	1500
# Food patterns
சோறு	சாப்பிட்டேன்	1500
சாப்பாடு	சாப்பிட்டேன்	1480
இட்லி	சாப்பிட்டேன்	1450
தோசை	சாப்பிட்டேன்	1420
# Friend patterns
நண்பன்	வந்தான்	1450
நண்பா	வா	1420
நண்பர்	வந்தார்	1400
நண்பி	வந்தாள்	1380
தோழன்	உடன்	1350
# Time expressions
இன்று	வா	1500
நேற்று	வந்தேன்	1480
நாளை	வருகிறேன்	1450
இப்போது	போகிறேன்	1420
பிறகு	வருகிறேன்	1400
# Polite forms
தயவுசெய்து	வா	1350
தயவுசெய்து	சொல்லுங்கள்	1320
மன்னிக்கவும்	நான்	1300
நன்றி	சொல்ல	1280
# Common verb+object
தமிழ்	படிக்கிறேன்	1400
தமிழ்	பேசுகிறேன்	1370
தமிழ்	எழுதுகிறேன்	1340
மொழி	படிக்க	1320
புத்தகம்	படிக்க	1300
# Past tense chains
படித்தேன்	சாப்பிட்டேன்	1200
வந்தேன்	பார்த்தேன்	1180
போனேன்	வாங்கினேன்	1150
சாப்பிட்டேன்	போனேன்	1120
பார்த்தேன்	சொன்னேன்	1100
# Colloquial chains
படிச்சேன்	சாப்பிட்டேன்	1300
வந்தேன்	பார்த்தேன்	1280
போனேன்	வாங்கினேன்	1250
சாப்பிட்டேன்	வந்தேன்	1220
# Question word patterns
என்ன	பெயர்	1400
எங்க	இருக்கிறீர்கள்	1370
எப்ப	வருகிறீர்கள்	1340
யார்	அது	1320
எது	இது	1300
